name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
주영만,1961/04/01,DF,169,69,1984,1984,1,17,0,0,4
김운오,1961/04/14,DF,178,73,1984,1984,1,6,0,0,4
이종광,1961/04/19,FW,176,66,1984,1985,2,21,0,1,4
신상근,1961/04/24,FW,166,62,1984,1989,6,89,8,11,4
김현태,1961/05/01,GK,180,80,1984,1996,9,114,0,0,5
김기윤,1961/05/05,MF,178,72,1984,1987,3,32,4,2,5
최철주,1961/05/26,FW,170,65,1984,1985,2,3,2,0,5
윤종현,1961/07/03,DF,178,73,1984,1984,1,1,0,0,7
이상래,1961/07/12,MF,172,65,1984,1988,5,105,14,12,7
강득수,1961/08/16,MF,173,67,1984,1991,8,178,22,42,8
김경식,1961/09/15,DF,NA,NA,1984,1985,2,39,1,1,9
권재곤,1961/09/19,MF,173,70,1984,1984,1,6,2,1,9
최철희,1961/10/03,MF,177,73,1984,1984,1,18,1,0,10
최종학,1962/05/10,DF,182,73,1984,1985,2,4,0,0,5
오영섭,1962/05/12,FW,175,73,1984,1984,1,17,1,6,5
백치수,1962/09/03,FW,180,72,1984,1989,6,107,2,3,9
전덕찬,1963/05/05,DF,174,69,1984,1986,2,2,0,0,5
김흥권,1963/12/02,MF,171,68,1984,1989,5,74,4,5,12
최재혁,1964/09/17,FW,172,64,1984,1986,3,33,2,4,9
김병관,1966/02/16,DF,178,68,1984,1990,3,16,0,0,2
차희철,1966/11/24,MF,167,65,1984,1991,6,97,3,8,11
정일영,NA,DF,NA,NA,1984,1984,1,1,0,0,NA
정종식,NA,MF,NA,NA,1984,1985,2,2,0,0,NA
조규태,1957/01/18,GK,178,72,1985,1985,1,3,0,0,1
유성조,1957/12/27,DF,NA,NA,1985,1985,1,13,0,0,12
김익형,1958/06/17,MF,NA,NA,1985,1986,2,41,0,1,6
김재환,1958/08/10,MF,NA,NA,1985,1985,1,4,0,1,8
문민호,1958/09/18,MF,NA,NA,1985,1985,1,5,1,0,9
김학수,1958/10/18,MF,NA,NA,1985,1986,2,23,0,0,10
이춘섭,1958/11/18,GK,181,71,1985,1985,1,8,0,0,11
유재영,1958/12/06,DF,NA,NA,1985,1986,2,36,2,1,12
서창호,1960/03/16,MF,NA,NA,1985,1985,1,2,0,0,3
이관호,1960/06/28,GK,NA,NA,1985,1985,1,18,0,0,6
김풍해,1960/07/13,DF,NA,NA,1985,1985,1,1,0,0,7
한영수,1960/08/14,FW,176,66,1985,1987,3,32,5,1,8
허태식,1961/01/06,MF,174,69,1985,1991,4,27,1,2,1
이돈철,1961/01/13,FW,177,71,1985,1988,3,37,0,1,1
